order,list,item,condition,target_type,target_num,comp_num,Exp1_target,Exp1_competitor,ambiguity,targetID,targetPos,compPos,comp2Pos,destPos,locPhrase,order_of_mention,entities,target_grammatical_status,target_number,sentence,firstDisplay,secondDisplay,expTrials
66,2,X50,9,,,,,,,,5,4,,6,,1,2,VP object,singular,There is a CD on number 5.,X50_9_1.jpg,X50_9_2.jpg,N
66,3,X50,9,,,,,,,,5,4,,6,,1,2,VP object,singular,There is a CD on number 5.,X50_9_1.jpg,X50_9_2.jpg,N
66,4,X50,9,,,,,,,,5,4,,6,,1,2,VP object,singular,There is a CD on number 5.,X50_9_1.jpg,X50_9_2.jpg,N
67,1,X63,9,,,,,,,,5,,,1,,1,1,subject,plural,The buses are on number 5.,X63_9_1.jpg,X63_9_2.jpg,N
67,2,X63,9,,,,,,,,5,,,1,,1,1,subject,plural,The buses are on number 5.,X63_9_1.jpg,X63_9_2.jpg,N
67,3,X63,9,,,,,,,,5,,,1,,1,1,subject,plural,The buses are on number 5.,X63_9_1.jpg,X63_9_2.jpg,N
67,4,X63,9,,,,,,,,5,,,1,,1,1,subject,plural,The buses are on number 5.,X63_9_1.jpg,X63_9_2.jpg,N
68,1,25,3,2,1,2,tie,ladders,unambiguous,9,2,1,,4,next to,1,2,subject,singular,The tie next to the ladders is on number 2.,E25_3_1.jpg,E25_3_2.jpg,Y
68,2,25,4,2,2,2,ties,ladders,ambiguous,9,2,1,,4,next to,1,2,subject,plural,The ties next to the ladders are on number 2.,E25_4_1.jpg,E25_4_2.jpg,Y
68,3,25,1,1,1,1,tie,ladder,ambiguous,9,2,1,,4,next to,1,2,subject,singular,The tie next to the ladder is on number 2.,E25_1_1.jpg,E25_1_2.jpg,Y
68,4,25,2,1,2,1,ties,ladder,unambiguous,9,2,1,,4,next to,1,2,subject,plural,The ties next to the ladder are on number 2.,E25_2_1.jpg,E25_2_2.jpg,Y
69,1,X66,9,,,,,,,,2,4,,3,,1,2,subject,singular,The rugby player is on number 2.,X66_9_1.jpg,X66_9_2.jpg,N
69,2,X66,9,,,,,,,,2,4,,3,,1,2,subject,singular,The rugby player is on number 2.,X66_9_1.jpg,X66_9_2.jpg,N
69,3,X66,9,,,,,,,,2,4,,3,,1,2,subject,singular,The rugby player is on number 2.,X66_9_1.jpg,X66_9_2.jpg,N
69,4,X66,9,,,,,,,,2,4,,3,,1,2,subject,singular,The rugby player is on number 2.,X66_9_1.jpg,X66_9_2.jpg,N
70,1,26,4,2,2,2,buckets,mobiles,ambiguous,12,1,4,,3,above,1,2,subject,plural,The buckets above the mobiles are on number 1.,E26_4_1.jpg,E26_4_2.jpg,Y
70,2,26,1,1,1,1,bucket,mobile,ambiguous,12,1,4,,3,above,1,2,subject,singular,The bucket above the mobile is on number 1.,E26_1_1.jpg,E26_1_2.jpg,Y
70,3,26,2,1,2,1,buckets,mobile,unambiguous,12,1,4,,3,above,1,2,subject,plural,The buckets above the mobile are on number 1.,E26_2_1.jpg,E26_2_2.jpg,Y
70,4,26,3,2,1,2,bucket,mobiles,unambiguous,12,1,4,,3,above,1,2,subject,singular,The bucket above the mobiles is on number 1.,E26_3_1.jpg,E26_3_2.jpg,Y
71,1,X75,9,,,,,,,,2,6,5,3,above,1,3,subject,singular,"The lock is on number 2, on the row above the doughnuts and penguins.",X75_9_1.jpg,X75_9_2.jpg,N
71,2,X75,9,,,,,,,,2,6,5,3,above,1,3,subject,singular,"The lock is on number 2, on the row above the doughnuts and penguins.",X75_9_1.jpg,X75_9_2.jpg,N
71,3,X75,9,,,,,,,,2,6,5,3,above,1,3,subject,singular,"The lock is on number 2, on the row above the doughnuts and penguins.",X75_9_1.jpg,X75_9_2.jpg,N
71,4,X75,9,,,,,,,,2,6,5,3,above,1,3,subject,singular,"The lock is on number 2, on the row above the doughnuts and penguins.",X75_9_1.jpg,X75_9_2.jpg,N
72,1,X61,9,,,,,,,,3,6,,1,above,2,2,PP object,plural,"The hedgehog is on number 3, above the watermelons.",X61_9_1.jpg,X61_9_2.jpg,N
72,2,X61,9,,,,,,,,3,6,,1,above,2,2,PP object,plural,"The hedgehog is on number 3, above the watermelons.",X61_9_1.jpg,X61_9_2.jpg,N
72,3,X61,9,,,,,,,,3,6,,1,above,2,2,PP object,plural,"The hedgehog is on number 3, above the watermelons.",X61_9_1.jpg,X61_9_2.jpg,N
72,4,X61,9,,,,,,,,3,6,,1,above,2,2,PP object,plural,"The hedgehog is on number 3, above the watermelons.",X61_9_1.jpg,X61_9_2.jpg,N
73,1,27,1,1,1,1,cup,knife,ambiguous,1,6,3,,4,below,1,2,subject,singular,The cup below the knife is on number 6.,E27_1_1.jpg,E27_1_2.jpg,Y
